city,county,state,population rank,name,e-mail,phone,"availability",license,year,aproximate count,cost,who,how,result,conversion rules/info,status
Birmingham,,Alabama,78,,,,,,,,,,,,,
,Calhoun,Alabama,,,,,http://gis.calhouncounty.org/arcgis2/rest/services/ParcelViewer/MapServer/68,,,,,,,,,
Montgomery,,Alabama,97,,http://www.montgomeryal.gov/index.aspx?page=227,,,,,,,,,,,
Anchorage,,Alaska,67,,,,http://munimaps.muni.org/ftp_gis/address_shp.zip,Public Domain,1997?,,,,,,,
Chandler,Maricopa,Arizona,77,,http://www.fcd.maricopa.gov/maps/gio/contacts.html,,,,,,,,,,,
Glendale,,Arizona,72,,,,,,,,,,,,,
Mesa,,Arizona,40,,,,http://gis.mesaaz.gov/mesaaz/rest/services/Address/AddressIndexAcella/MapServer/0,,,,,,,,,
Phoenix,,Arizona,6,,http://phoenix.gov/email/emgis.html,,,,,,,,,,,
Scottsdale,,Arizona,80,,https://eservices.scottsdaleaz.gov/eservices/dmc/ProductIntro.aspx,,http://maps.scottsdaleaz.gov/arcgis/rest/services/ParcelInformation/MapServer/15,Crappy License,,,,,,,,
Tucson,Pima,Arizona,31,,,,http://webcms.pima.gov/cms/one.aspx?portalId=169&pageId=33931,Crappy License,,,,,,,,
Anaheim,,California,55,,http://gis.anaheim.net/,,,,,,,,,,,
Bakersfield,,California,60,,,,http://www.bakersfieldcity.us/gis/downloads/vectors/AddressPoints.zip,http://www.bakersfieldcity.us/gis/gis_spatial_data.htm,,,,,,,,
Chula Vista,,California,91,,,,,,,,,,,,,
Fresno,,California,36,,,,http://www.co.fresno.ca.us/ViewDocument.aspx?id=52117,http://www.co.fresno.ca.us/DepartmentPage.aspx?id=52121,9/10/2013,,,,,,,
Long Beach,,California,34,,http://www.longbeach.gov/tsd/contact_us/default.asp,,,,,,,,,,,
Los Angeles,Los Angeles,California,2,,,,http://egis3.lacounty.gov/dataportal/wp-content/uploads/2012/06/lacounty_address_points.zip,http://egis3.lacounty.gov/dataportal/disclaimer/,,,,,,,,
Modesto,,California,95,,http://www.modestogov.com/itd/gis/contact.asp,,,,,,,,,,,
Oakland,,California,44,,,,https://data.acgov.org/api/geospatial/8e4s-7f4v?method=export&format=Original,http://www.acgov.org/acdata/terms.htm,,,,,,,,
Riverside,Riverside,California,61,,gis@rctlma.org,,,,,,,,,,,
Sacramento,,California,39,,http://www.sacgis.org/Pages/ContactUs.aspx,,http://www.cityofsacramento.org/gis/data.html,,,,,,,,,
San Bernardino,,California,100,,gis@isd.sbcounty.gov,,,,,,,,,,,
San Diego,,California,7,,gismaster@sandag.org,,http://rdw.sandag.org/file_store/Address/Address_APN.zip,http://rdw.sandag.org/,,,,,,,,
San Francisco,,California,14,,,,https://data.sfgov.org/download/kvej-w5kb/ZIPPED%20SHAPEFILE,,,,,,,,,
San Jose,,California,11,,http://www.sanjoseca.gov/DocumentCenter/View/16118,,,,,,,,,,,
Santa Ana,,California,53,,http://www.ci.santa-ana.ca.us/cda/GISmaps.asp,,,,,,,,,,,
Stockton,,California,62,,http://www.stocktongov.com/services/gis/contactUs.html,,,,,,,,,,,
,Adams,Colorado,,Margaret Grondalski,mgrondalski@adcogov.org,720-523-6712,http://www.co.adams.co.us/index.aspx?NID=417,Indemnification,,,,,,,,
,Arapahoe,Colorado,,,gis@co.arapahoe.co.us,,http://gis.arapahoegov.com/DL_Data/Address_Points/WGS/Address_Points_SHAPE_WGS.zip,Crappy License,,,,,,,,
Aurora,,Colorado,59,,gis@auroragov.org,,https://apps.auroragov.org/GISOpenData/DataDownload/LL_AddressPoints_SHP.zip,Crappy License,,,,,,,,
Colorado Springs,,Colorado,43,,,,,,,,,,,,,
,Douglas County,Colorado,,Joel R. Hanson,GISInfo@douglas.co.us,303.660.7464,http://www.douglas.co.us/gis/,steve@asklater.com has emailed to ask,,,$250,Steve,,,,
Denver,,Colorado,27,,denvergis@denvergov.org,,http://data.denvergov.org/download/gis/addresses/shape/addresses.zip,CCBY3.0,11/12/2013,,,,,,,
,Gilpin,Colorado,,,,,https://maps.digitaldataservices.com/Clients/GILP/Data/SiteAddressPoint.zip,,,,,,,,,
Washington,,District of Columbia,24,,dcgis@dc.gov,,http://dcatlas.dcgis.dc.gov/catalog/download.asp?downloadID=2182&downloadTYPE=ESRI,http://data.dc.gov/TermsOfUse.aspx,3/28/2013,,,,,,,
Ft Lauderdale,Broward,Florida,,,,,https://bcpasecure.net/InfoBroward/InfoBroward.asp,Public Domain,,,$450,grouper,,,,
,Collier,Florida,,,,,http://www.colliergov.net/Index.aspx?page=2713,Public Domain,,,free,grouper,,,,
,Lake,Florida,,,,,http://www.lakecountyfl.gov/departments/information_technology/geographic_information_services/datadownloads.aspx,Public Domain,,,free,grouper,,,,
Jacksonville,Duval,Florida,13,,,,,Public Domain,,,,grouper,,,,
,Lee,Florida,,,,,http://leegis.leegov.com/GISData.htm,Public Domain,,,free,grouper,,,,
,Manatee,Florida,,,,,http://www.mymanatee.org/home/government/departments/information-technology/gis-home/gis-datadownload.html,Public Domain,,,free,grouper,,,,
Miami,Miami-Dade,Florida,45,,,,http://gisweb.miamidade.gov/GISSelfServices/GeographicData/MDGeographicData.html,Public Domain,,,free,grouper,,,,
Orlando,Orange,Florida,86,,,,ftp://ftp.onetgov.net/divisions/Infomap/pub/GIS_Downloads/FTP%20Shapefiles/,Public Domain,,,free,grouper,,,,
St. Petersburg,Pinellas,Florida,71,,,,http://www.pcpao.org/datadownload.php,Public Domain,,,free,grouper,,,,
Tampa,Hillsborough,Florida,56,,,,ftp://public:access@209.26.172.71/shapefiles/,Public Domain,,,free,grouper,,,,
West Palm Beach,Palm Beach,Florida,,,,,http://www.pbcgov.com/iss/itoperations/cwgis/GISdatasearch/,Public Domain,,,free,grouper,,,,
,Sarasota,Florida,,,,,http://gis.scgov.net/data_download_page.asp,Public Domain,,,free,grouper,,,,
,Volusia,Florida,,,,,http://www.volusia.org/services/financial-and-administrative-services/information-technology/geographic-information-services/data-available-in-shapefile-format.stml,Public Domain,,,free,grouper,,,,
,ALL,Florida,,,,,ftp://sdrftp03.dor.state.fl.us,Public Domain,,,free,grouper,,,,
,Gordon,Georgia,,,,,http://maps.binarybus.com/arcgis/rest/services/gordon/gordon/MapServer/0,,,,,,,,,
,Muscogee,Georgia,,,,,http://maps.binarybus.com/arcgis/rest/services/Columbus/publicsafety/MapServer/22,,,,,,,,,
,Sumter,Georgia,,,,,http://maps.binarybus.com/arcgis/rest/services/Americus/Public/MapServer/0,,,,,,,,,
Atlanta,Fulton,Georgia,33,Steve Williams,stewilliams@atlantaga.gov,404-330-6637,http://share.myfultoncountyga.us/GPDownload/FultonCounty/Tax_Parcels2013,Public Domain,1/17/2013,,,,,,,
Honolulu,,Hawaii,48,,,,,,,,,,,,,
Boise,Ada,Idaho,98,,,,,,,,,,,,,
,Canyon,Idaho,,,,,http://gis.canyonco.org:6080/arcgis/rest/services/cc/Taxparcels/FeatureServer/0,,,,,,,,,
,Calhoun,Illinois,,,,,,,,,,,,,,
,Champaign,Illinois,,,,,http://www.maps.ccgisc.org/arcgis101/rest/services/County/CCAddresses/MapServer/0,,,,,,,,,
,Cook,Illinois,,,,,http://cookviewer1.cookcountyil.gov/ArcGIS/rest/services/cookElectnSrvc/MapServer/1,,,,,,,,,
Chicago,,Illinois,3,,,,https://github.com/Chicago/osd-building-footprints,MIT,,,,iandees,"meetup, phone, inperson",,,complete.
,Christian,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_christian_co_il_taxmap/MapServer/0,,,,,,,,,
,Clark,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_clark_co_il_taxmap/MapServer/0,,,,,,,,,
,Jackson,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_jackson_co_il_taxmap/MapServer/0,,,,,,,,,
,Jersey,Illinois,,,,,http://services2.bhamaps.com/arcgis/rest/services/AGS_jersey_co_il_taxmap/MapServer/0,,,,,,,,,
