UF,Município,Nome Município,Distrito,Nome Distrito,Subdistrito,Nome Subdistrito,Arquivo
RO,1100015,Alta Floresta D'Oeste,05,Alta Floresta D'Oeste,00,,11000150500
RO,1100015,Alta Floresta D'Oeste,15,Filadélfia d'Oeste,00,,11000151500
RO,1100015,Alta Floresta D'Oeste,20,Izidolândia,00,,11000152000
RO,1100015,Alta Floresta D'Oeste,25,Nova Gease d'Oeste,00,,11000152500
RO,1100015,Alta Floresta D'Oeste,30,Rolim de Moura do Guaporé,00,,11000153000
RO,1100015,Alta Floresta D'Oeste,35,Santo Antônio d'Oeste,00,,11000153500
RO,1100023,Ariquemes,05,Ariquemes,00,,11000230500
RO,1100031,Cabixi,05,Cabixi,00,,11000310500
RO,1100049,Cacoal,05,Cacoal,00,,11000490500
RO,1100049,Cacoal,10,Riozinho,00,,11000491000
RO,1100056,Cerejeiras,05,Cerejeiras,00,,11000560500
RO,1100064,Colorado do Oeste,05,Colorado do Oeste,00,,11000640500
RO,1100072,Corumbiara,05,Corumbiara,00,,11000720500
RO,1100080,Costa Marques,05,Costa Marques,00,,11000800500
RO,1100080,Costa Marques,15,Príncipe da Beira,00,,11000801500
RO,1100098,Espigão D'Oeste,05,Espigão D'Oeste,00,,11000980500
RO,1100098,Espigão D'Oeste,10,Boa Vista do Pacarana,00,,11000981000
RO,1100098,Espigão D'Oeste,12,Novo Paraíso,00,,11000981200
RO,1100098,Espigão D'Oeste,15,Flor da Serra,00,,11000981500
RO,1100098,Espigão D'Oeste,18,Nova Esperança,00,,11000981800
RO,1100106,Guajará-Mirim,05,Guajará-Mirim,00,,11001060500
RO,1100106,Guajará-Mirim,12,Iata,00,,11001061200
RO,1100106,Guajará-Mirim,22,Surpresa,00,,11001062200
RO,1100114,Jaru,05,Jaru,00,,11001140500
RO,1100114,Jaru,10,Bom Jesus,00,,11001141000
RO,1100114,Jaru,20,Santa Cruz da Serra,00,,11001142000
RO,1100114,Jaru,25,Tarilândia,00,,11001142500
RO,1100122,Ji-Paraná,05,Ji-Paraná,00,,11001220500
RO,1100122,Ji-Paraná,20,Nova Colina,00,,11001222000
RO,1100122,Ji-Paraná,25,Nova Londrina,00,,11001222500
RO,1100130,Machadinho D'Oeste,05,Machadinho D'Oeste,00,,11001300500
RO,1100130,Machadinho D'Oeste,15,Oriente Novo,00,,11001301500
RO,1100130,Machadinho D'Oeste,20,Quinto BEC,00,,11001302000
RO,1100130,Machadinho D'Oeste,25,Tabajara,00,,11001302500
RO,1100148,Nova Brasilândia D'Oeste,05,Nova Brasilândia D'Oeste,00,,11001480500
RO,1100155,Ouro Preto do Oeste,05,Ouro Preto do Oeste,00,,11001550500
RO,1100155,Ouro Preto do Oeste,25,Rondominas,00,,11001552500
RO,1100189,Pimenta Bueno,05,Pimenta Bueno,00,,11001890500
RO,1100189,Pimenta Bueno,15,Marco Rondon,00,,11001891500
RO,1100205,Porto Velho,05,Porto Velho,06,Zona 01,11002050506
RO,1100205,Porto Velho,05,Porto Velho,07,Zona 02,11002050507
RO,1100205,Porto Velho,05,Porto Velho,08,Zona 03,11002050508
RO,1100205,Porto Velho,05,Porto Velho,09,Zona 04,11002050509
