state,municipality,district,subdistrict,id
RO,Alta Floresta D'Oeste,Alta Floresta D'Oeste,,11000150500
RO,Alta Floresta D'Oeste,Filadélfia d'Oeste,,11000151500
RO,Alta Floresta D'Oeste,Izidolândia,,11000152000
RO,Alta Floresta D'Oeste,Nova Gease d'Oeste,,11000152500
RO,Alta Floresta D'Oeste,Rolim de Moura do Guaporé,,11000153000
RO,Alta Floresta D'Oeste,Santo Antônio d'Oeste,,11000153500
RO,Ariquemes,Ariquemes,,11000230500
RO,Cabixi,Cabixi,,11000310500
RO,Cacoal,Cacoal,,11000490500
RO,Cacoal,Riozinho,,11000491000
RO,Cerejeiras,Cerejeiras,,11000560500
RO,Colorado do Oeste,Colorado do Oeste,,11000640500
RO,Corumbiara,Corumbiara,,11000720500
RO,Costa Marques,Costa Marques,,11000800500
RO,Costa Marques,Príncipe da Beira,,11000801500
RO,Espigão D'Oeste,Espigão D'Oeste,,11000980500
RO,Espigão D'Oeste,Boa Vista do Pacarana,,11000981000
RO,Espigão D'Oeste,Novo Paraíso,,11000981200
RO,Espigão D'Oeste,Flor da Serra,,11000981500
RO,Espigão D'Oeste,Nova Esperança,,11000981800
RO,Guajará-Mirim,Guajará-Mirim,,11001060500
RO,Guajará-Mirim,Iata,,11001061200
RO,Guajará-Mirim,Surpresa,,11001062200
RO,Jaru,Jaru,,11001140500
RO,Jaru,Bom Jesus,,11001141000
RO,Jaru,Santa Cruz da Serra,,11001142000
RO,Jaru,Tarilândia,,11001142500
RO,Ji-Paraná,Ji-Paraná,,11001220500
RO,Ji-Paraná,Nova Colina,,11001222000
RO,Ji-Paraná,Nova Londrina,,11001222500
RO,Machadinho D'Oeste,Machadinho D'Oeste,,11001300500
RO,Machadinho D'Oeste,Oriente Novo,,11001301500
RO,Machadinho D'Oeste,Quinto BEC,,11001302000
RO,Machadinho D'Oeste,Tabajara,,11001302500
RO,Nova Brasilândia D'Oeste,Nova Brasilândia D'Oeste,,11001480500
RO,Ouro Preto do Oeste,Ouro Preto do Oeste,,11001550500
RO,Ouro Preto do Oeste,Rondominas,,11001552500
RO,Pimenta Bueno,Pimenta Bueno,,11001890500
RO,Pimenta Bueno,Marco Rondon,,11001891500
RO,Porto Velho,Porto Velho,Zona 01,11002050506
RO,Porto Velho,Porto Velho,Zona 02,11002050507
RO,Porto Velho,Porto Velho,Zona 03,11002050508
RO,Porto Velho,Porto Velho,Zona 04,11002050509
RO,Porto Velho,Porto Velho,Zona 05,11002050510
RO,Porto Velho,Abunã,,11002051000
RO,Porto Velho,Calama,,11002051500
RO,Porto Velho,Demarcação,,11002051600
RO,Porto Velho,Extrema,,11002051700
RO,Porto Velho,Fortaleza do Abunã,,11002051800
RO,Porto Velho,Jaci Paraná,,11002052000
RO,Porto Velho,Mutum Paraná,,11002052500
RO,Porto Velho,Nazaré,,11002053000
RO,Porto Velho,Nova Califórnia,,11002053500
RO,Porto Velho,São Carlos,,11002054000
RO,Porto Velho,Vista Alegre do Abunã,,11002054500
RO,Presidente Médici,Presidente Médici,,11002540500
RO,Presidente Médici,Estrela de Rondônia,,11002541500
RO,Presidente Médici,Novo Riachuelo,,11002542000
RO,Presidente Médici,Vila Bandeira Branca,,11002542500
RO,Presidente Médici,Vila Camargo,,11002543000
RO,Rio Crespo,Rio Crespo,,11002620500
RO,Rolim de Moura,Rolim de Moura,,11002880500
RO,Santa Luzia D'Oeste,Santa Luzia D'Oeste,,11002960500
RO,Vilhena,Vilhena,,11003040500
RO,São Miguel do Guaporé,São Miguel do Guaporé,,11003200500
RO,São Miguel do Guaporé,Santana do Guaporé,,11003202000
RO,Nova Mamoré,Nova Mamoré,,11003380500
RO,Nova Mamoré,Araras,,11003381000
RO,Nova Mamoré,Jacynópolis,,11003381200
RO,Nova Mamoré,Nova Dimensão,,11003381500
RO,Nova Mamoré,Palmeiras,,11003382000
RO,Alvorada D'Oeste,Alvorada D'Oeste,,11003460500
RO,Alvorada D'Oeste,Tancredópolis,,11003462500
RO,Alvorada D'Oeste,Terra Boa,,11003463000
RO,Alto Alegre dos Parecis,Alto Alegre dos Parecis,,11003790500
RO,Alto Paraíso,Alto Paraíso,,11004030500
RO,Buritis,Buritis,,11004520500
RO,Novo Horizonte do Oeste,Novo Horizonte do Oeste,,11005020500
RO,Cacaulândia,Cacaulândia,,11006010500
RO,Campo Novo de Rondônia,Campo Novo de Rondônia,,11007000500
RO,Candeias do Jamari,Candeias do Jamari,,11008090500
RO,Candeias do Jamari,Rio Preto do Candeias,,11008092000
RO,Castanheiras,Castanheiras,,11009080500
RO,Chupinguaia,Chupinguaia,,11009240500
RO,Cujubim,Cujubim,,11009400500
RO,Governador Jorge Teixeira,Governador Jorge Teixeira,,11010050500
RO,Governador Jorge Teixeira,Colina Verde,,11010051500
RO,Itapuã do Oeste,Itapuã do Oeste,,11011040500
RO,Ministro Andreazza,Ministro Andreazza,,11012030500
RO,Mirante da Serra,Mirante da Serra,,11013020500
RO,Monte Negro,Monte Negro,,11014010500
RO,Nova União,Nova União,,11014350500
RO,Parecis,Parecis,,11014500500
RO,Pimenteiras do Oeste,Pimenteiras do Oeste,,11014680500
RO,Primavera de Rondônia,Primavera de Rondônia,,11014760500
RO,São Felipe D'Oeste,São Felipe D'Oeste,,11014840500
RO,São Francisco do Guaporé,São Francisco do Guaporé,,11014920500
RO,Seringueiras,Seringueiras,,11015000500
RO,Teixeirópolis,Teixeirópolis,,11015590500
RO,Theobroma,Theobroma,,11016090500
RO,Urupá,Urupá,,11017080500
RO,Vale do Anari,Vale do Anari,,11017570500
RO,Vale do Paraíso,Vale do Paraíso,,11018070500
AC,Acrelândia,Acrelândia,,12000130500
AC,Assis Brasil,Assis Brasil,,12000540500
AC,Brasiléia,Brasiléia,,12001040500
AC,Bujari,Bujari,,12001380500
AC,Capixaba,Capixaba,,12001790500
AC,Cruzeiro do Sul,Cruzeiro do Sul,,12002030500
AC,Epitaciolândia,Epitaciolândia,,12002520500
AC,Feijó,Feijó,,12003020500
AC,Jordão,Jordão,,12003280500
AC,Mâncio Lima,Mâncio Lima,,12003360500
AC,Manoel Urbano,Manoel Urbano,,12003440500
AC,Marechal Thaumaturgo,Marechal Thaumaturgo,,12003510500
AC,Plácido de Castro,Plácido de Castro,,12003850500
AC,Plácido de Castro,Campinas,,12003851000
AC,Porto Walter,Porto Walter,,12003930500
AC,Rio Branco,Rio Branco,,12004010500
AC,Rodrigues Alves,Rodrigues Alves,,12004270500
AC,Santa Rosa do Purus,Santa Rosa do Purus,,12004350500
AC,Senador Guiomard,Senador Guiomard,,12004500500
AC,Sena Madureira,Sena Madureira,,12005000500
AC,Tarauacá,Tarauacá,,12006090500
AC,Xapuri,Xapuri,,12007080500
AC,Porto Acre,Porto Acre,,12008070500
AM,Alvarães,Alvarães,,13000290500
AM,Amaturá,Amaturá,,13000600500
AM,Anamã,Anamã,,13000860500
AM,Anori,Anori,,13001020500
AM,Apuí,Apuí,,13001440500
AM,Atalaia do Norte,Atalaia do Norte,,13002010500
AM,Autazes,Autazes,,13003000500
AM,Autazes,Murutinga,,13003001000
AM,Barcelos,Barcelos,,13004090500
AM,Barreirinha,Barreirinha,,13005080500
AM,Barreirinha,Ariaú,,13005081000
AM,Barreirinha,Cametá,,13005081200
AM,Barreirinha,Freguesia do Andirá,,13005081500
AM,Barreirinha,Pedras,,13005082000
AM,Benjamin Constant,Benjamin Constant,,13006070500
AM,Beruri,Beruri,,13006310500
AM,Boa Vista do Ramos,Boa Vista do Ramos,,13006800500
AM,Boa Vista do Ramos,Lago Preto,,13006801000
AM,Boa Vista do Ramos,Massauari,,13006801500
AM,Boca do Acre,Boca do Acre,,13007060500
AM,Boca do Acre,Floriano Peixoto,,13007061000
AM,Borba,Borba,,13008050500
AM,Caapiranga,Caapiranga,,13008390500
AM,Canutama,Canutama,,13009040500
AM,Carauari,Carauari,,13010010500
AM,Careiro,Careiro,,13011000500
AM,Careiro da Várzea,Careiro da Várzea,,13011590500
AM,Coari,Coari,,13012090500
AM,Codajás,Codajás,,13013080500
AM,Codajás,Badajos,,13013081000
AM,Eirunepé,Eirunepé,,13014070500
AM,Envira,Envira,,13015060500
AM,Fonte Boa,Fonte Boa,,13016050500
AM,Guajará,Guajará,,13016540500
AM,Humaitá,Humaitá,,13017040500
AM,Ipixuna,Ipixuna,,13018030500
AM,Iranduba,Iranduba,,13018520500
AM,Iranduba,Ariaú,,13018521000
AM,Iranduba,Cacau Pirêra,,13018521500
AM,Iranduba,Lago do Limão,,13018522000
AM,Iranduba,Paricatuba,,13018522500
AM,Itacoatiara,Itacoatiara,,13019020500
AM,Itacoatiara,Amatari,,13019021000
AM,Itamarati,Itamarati,,13019510500
AM,Itapiranga,Itapiranga,,13020090500
