縣市代碼,縣市名稱,區里代碼,區鄉鎮名稱,村里代碼,村里名稱
63,臺北市,6300100,松山區,6300100-002,莊敬里
63,臺北市,6300100,松山區,6300100-003,東榮里
63,臺北市,6300100,松山區,6300100-004,三民里
63,臺北市,6300100,松山區,6300100-005,新益里
63,臺北市,6300100,松山區,6300100-006,富錦里
63,臺北市,6300100,松山區,6300100-007,新東里
63,臺北市,6300100,松山區,6300100-008,富泰里
63,臺北市,6300100,松山區,6300100-009,介壽里
63,臺北市,6300100,松山區,6300100-010,精忠里
63,臺北市,6300100,松山區,6300100-011,東光里
63,臺北市,6300100,松山區,6300100-012,龍田里
63,臺北市,6300100,松山區,6300100-013,東昌里
63,臺北市,6300100,松山區,6300100-014,東勢里
63,臺北市,6300100,松山區,6300100-015,中華里
63,臺北市,6300100,松山區,6300100-016,民有里
63,臺北市,6300100,松山區,6300100-017,民福里
63,臺北市,6300100,松山區,6300100-018,慈祐里
63,臺北市,6300100,松山區,6300100-019,安平里
63,臺北市,6300100,松山區,6300100-020,鵬程里
63,臺北市,6300100,松山區,6300100-021,自強里
63,臺北市,6300100,松山區,6300100-022,吉祥里
63,臺北市,6300100,松山區,6300100-024,新聚里
63,臺北市,6300100,松山區,6300100-025,復盛里
63,臺北市,6300100,松山區,6300100-026,中正里
63,臺北市,6300100,松山區,6300100-027,中崙里
63,臺北市,6300100,松山區,6300100-028,美仁里
63,臺北市,6300100,松山區,6300100-029,吉仁里
63,臺北市,6300100,松山區,6300100-030,敦化里
63,臺北市,6300100,松山區,6300100-031,復源里
63,臺北市,6300100,松山區,6300100-032,復建里
63,臺北市,6300100,松山區,6300100-033,復勢里
63,臺北市,6300100,松山區,6300100-034,福成里
63,臺北市,6300100,松山區,6300100-035,松基里
63,臺北市,6300200,信義區,6300200-001,西村里
63,臺北市,6300200,信義區,6300200-002,正和里
63,臺北市,6300200,信義區,6300200-003,興隆里
63,臺北市,6300200,信義區,6300200-004,中興里
63,臺北市,6300200,信義區,6300200-005,新仁里
63,臺北市,6300200,信義區,6300200-006,興雅里
63,臺北市,6300200,信義區,6300200-007,敦厚里
63,臺北市,6300200,信義區,6300200-008,廣居里
63,臺北市,6300200,信義區,6300200-009,安康里
63,臺北市,6300200,信義區,6300200-010,六藝里
63,臺北市,6300200,信義區,6300200-011,雅祥里
63,臺北市,6300200,信義區,6300200-012,五常里
63,臺北市,6300200,信義區,6300200-013,五全里
63,臺北市,6300200,信義區,6300200-014,永吉里
63,臺北市,6300200,信義區,6300200-015,長春里
63,臺北市,6300200,信義區,6300200-016,四育里
63,臺北市,6300200,信義區,6300200-017,四維里
63,臺北市,6300200,信義區,6300200-018,永春里
63,臺北市,6300200,信義區,6300200-019,富台里
63,臺北市,6300200,信義區,6300200-020,國業里
63,臺北市,6300200,信義區,6300200-021,松隆里
63,臺北市,6300200,信義區,6300200-022,松友里
63,臺北市,6300200,信義區,6300200-023,松光里
63,臺北市,6300200,信義區,6300200-024,中坡里
63,臺北市,6300200,信義區,6300200-025,中行里
63,臺北市,6300200,信義區,6300200-026,大道里
63,臺北市,6300200,信義區,6300200-027,大仁里
63,臺北市,6300200,信義區,6300200-028,景新里
63,臺北市,6300200,信義區,6300200-029,惠安里
63,臺北市,6300200,信義區,6300200-030,三張里
63,臺北市,6300200,信義區,6300200-031,三犁里
63,臺北市,6300200,信義區,6300200-032,六合里
63,臺北市,6300200,信義區,6300200-033,泰和里
63,臺北市,6300200,信義區,6300200-034,景聯里
63,臺北市,6300200,信義區,6300200-035,景勤里
63,臺北市,6300200,信義區,6300200-036,雙和里
63,臺北市,6300200,信義區,6300200-037,嘉興里
63,臺北市,6300200,信義區,6300200-038,黎順里
63,臺北市,6300200,信義區,6300200-039,黎平里
63,臺北市,6300200,信義區,6300200-040,黎忠里
63,臺北市,6300200,信義區,6300200-041,黎安里
63,臺北市,6300300,大安區,6300300-001,德安里
63,臺北市,6300300,大安區,6300300-002,仁慈里
63,臺北市,6300300,大安區,6300300-003,和安里
63,臺北市,6300300,大安區,6300300-004,民炤里
63,臺北市,6300300,大安區,6300300-005,仁愛里
63,臺北市,6300300,大安區,6300300-006,義村里
63,臺北市,6300300,大安區,6300300-007,民輝里
63,臺北市,6300300,大安區,6300300-008,昌隆里
63,臺北市,6300300,大安區,6300300-009,誠安里
63,臺北市,6300300,大安區,6300300-010,光武里
63,臺北市,6300300,大安區,6300300-011,龍坡里
63,臺北市,6300300,大安區,6300300-012,龍泉里
63,臺北市,6300300,大安區,6300300-013,古風里
63,臺北市,6300300,大安區,6300300-014,古莊里
63,臺北市,6300300,大安區,6300300-015,龍安里
63,臺北市,6300300,大安區,6300300-016,錦安里
63,臺北市,6300300,大安區,6300300-017,福住里
63,臺北市,6300300,大安區,6300300-018,永康里
63,臺北市,6300300,大安區,6300300-019,光明里
63,臺北市,6300300,大安區,6300300-020,錦泰里
63,臺北市,6300300,大安區,6300300-021,錦華里
63,臺北市,6300300,大安區,6300300-022,龍圖里
63,臺北市,6300300,大安區,6300300-023,新龍里
63,臺北市,6300300,大安區,6300300-026,龍陣里
63,臺北市,6300300,大安區,6300300-027,龍雲里
63,臺北市,6300300,大安區,6300300-028,龍生里
63,臺北市,6300300,大安區,6300300-029,住安里
63,臺北市,6300300,大安區,6300300-030,義安里
63,臺北市,6300300,大安區,6300300-031,通化里
63,臺北市,6300300,大安區,6300300-032,通安里
63,臺北市,6300300,大安區,6300300-033,臨江里
63,臺北市,6300300,大安區,6300300-034,法治里
63,臺北市,6300300,大安區,6300300-035,全安里
63,臺北市,6300300,大安區,6300300-036,群賢里
63,臺北市,6300300,大安區,6300300-037,群英里
63,臺北市,6300300,大安區,6300300-038,虎嘯里
63,臺北市,6300300,大安區,6300300-039,臥龍里
63,臺北市,6300300,大安區,6300300-040,龍淵里
63,臺北市,6300300,大安區,6300300-041,龍門里
63,臺北市,6300300,大安區,6300300-043,大學里
63,臺北市,6300300,大安區,6300300-044,芳和里
63,臺北市,6300300,大安區,6300300-046,黎元里
63,臺北市,6300300,大安區,6300300-047,黎孝里
63,臺北市,6300300,大安區,6300300-048,黎和里
63,臺北市,6300300,大安區,6300300-049,建安里
63,臺北市,6300300,大安區,6300300-050,建倫里
63,臺北市,6300300,大安區,6300300-051,敦安里
63,臺北市,6300300,大安區,6300300-052,正聲里
63,臺北市,6300300,大安區,6300300-053,敦煌里
63,臺北市,6300300,大安區,6300300-054,華聲里
63,臺北市,6300300,大安區,6300300-055,車層里
63,臺北市,6300300,大安區,6300300-056,光信里
63,臺北市,6300300,大安區,6300300-057,學府里
63,臺北市,6300400,中山區,6300400-001,正守里
63,臺北市,6300400,中山區,6300400-002,正義里
63,臺北市,6300400,中山區,6300400-003,正得里
63,臺北市,6300400,中山區,6300400-004,民安里
63,臺北市,6300400,中山區,6300400-005,康樂里
63,臺北市,6300400,中山區,6300400-006,中山里
63,臺北市,6300400,中山區,6300400-007,聚盛里
63,臺北市,6300400,中山區,6300400-008,集英里
63,臺北市,6300400,中山區,6300400-009,聚葉里
63,臺北市,6300400,中山區,6300400-010,恆安里
63,臺北市,6300400,中山區,6300400-011,晴光里
63,臺北市,6300400,中山區,6300400-012,圓山里
63,臺北市,6300400,中山區,6300400-013,劍潭里
63,臺北市,6300400,中山區,6300400-014,大直里
63,臺北市,6300400,中山區,6300400-015,成功里
63,臺北市,6300400,中山區,6300400-016,永安里
63,臺北市,6300400,中山區,6300400-017,大佳里
63,臺北市,6300400,中山區,6300400-018,新喜里
63,臺北市,6300400,中山區,6300400-019,新庄里
63,臺北市,6300400,中山區,6300400-020,新福里
63,臺北市,6300400,中山區,6300400-021,松江里
63,臺北市,6300400,中山區,6300400-022,新生里
63,臺北市,6300400,中山區,6300400-023,中庄里
63,臺北市,6300400,中山區,6300400-024,行政里
63,臺北市,6300400,中山區,6300400-025,行仁里
63,臺北市,6300400,中山區,6300400-026,行孝里
63,臺北市,6300400,中山區,6300400-027,下埤里
63,臺北市,6300400,中山區,6300400-028,江寧里
63,臺北市,6300400,中山區,6300400-029,江山里
63,臺北市,6300400,中山區,6300400-030,中吉里
63,臺北市,6300400,中山區,6300400-031,中原里
63,臺北市,6300400,中山區,6300400-032,興亞里
63,臺北市,6300400,中山區,6300400-033,中央里
63,臺北市,6300400,中山區,6300400-034,朱馥里
63,臺北市,6300400,中山區,6300400-035,龍洲里
63,臺北市,6300400,中山區,6300400-036,朱園里
63,臺北市,6300400,中山區,6300400-037,埤頭里
63,臺北市,6300400,中山區,6300400-038,朱崙里
63,臺北市,6300400,中山區,6300400-039,力行里
63,臺北市,6300400,中山區,6300400-040,復華里
63,臺北市,6300400,中山區,6300400-041,金泰里
63,臺北市,6300400,中山區,6300400-042,北安里
63,臺北市,6300500,中正區,6300500-001,水源里
63,臺北市,6300500,中正區,6300500-002,富水里
63,臺北市,6300500,中正區,6300500-003,文盛里
63,臺北市,6300500,中正區,6300500-004,林興里
63,臺北市,6300500,中正區,6300500-005,河堤里
63,臺北市,6300500,中正區,6300500-006,頂東里
63,臺北市,6300500,中正區,6300500-007,網溪里
63,臺北市,6300500,中正區,6300500-008,板溪里
63,臺北市,6300500,中正區,6300500-009,螢圃里
63,臺北市,6300500,中正區,6300500-010,螢雪里
63,臺北市,6300500,中正區,6300500-011,永功里
63,臺北市,6300500,中正區,6300500-012,永昌里
63,臺北市,6300500,中正區,6300500-013,龍興里
63,臺北市,6300500,中正區,6300500-014,忠勤里
63,臺北市,6300500,中正區,6300500-015,廈安里
63,臺北市,6300500,中正區,6300500-016,愛國里
63,臺北市,6300500,中正區,6300500-017,南門里
