Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude
050	00	01		001				Autauga County	32.523283	-86.577176
050	00	01		003				Baldwin County	30.592781	-87.748260
050	00	01		005				Barbour County	31.856515	-85.331312
050	00	01		007				Bibb County	33.040054	-87.123243
050	00	01		009				Blount County	33.978461	-86.554768
050	00	01		011				Bullock County	32.098285	-85.704915
050	00	01		013				Butler County	31.735884	-86.662232
050	00	01		015				Calhoun County	33.741989	-85.817544
050	00	01		017				Chambers County	32.891233	-85.288745
050	00	01		019				Cherokee County	34.184158	-85.621930
050	00	01		021				Chilton County	32.852554	-86.689982
050	00	01		023				Choctaw County	32.027681	-88.257855
050	00	01		025				Clarke County	31.688155	-87.834164
050	00	01		027				Clay County	33.265810	-85.842858
050	00	01		029				Cleburne County	33.647948	-85.511937
050	00	01		031				Coffee County	31.378987	-85.956841
050	00	01		033				Colbert County	34.731480	-87.725960
050	00	01		035				Conecuh County	31.415613	-87.002108
050	00	01		037				Coosa County	32.955511	-86.236319
050	00	01		039				Covington County	31.251036	-86.416195
050	00	01		041				Crenshaw County	31.710365	-86.289299
050	00	01		043				Cullman County	34.155603	-86.830179
050	00	01		045				Dale County	31.394100	-85.615013
050	00	01		047				Dallas County	32.379942	-87.065563
050	00	01		049				DeKalb County	34.459133	-85.798919
050	00	01		051				Elmore County	32.596847	-86.170765
050	00	01		053				Escambia County	31.104135	-87.232880
050	00	01		055				Etowah County	34.018597	-86.032125
050	00	01		057				Fayette County	33.747077	-87.751725
050	00	01		059				Franklin County	34.465405	-87.832638
050	00	01		061				Geneva County	31.094579	-85.796983
050	00	01		063				Greene County	32.837254	-87.950852
050	00	01		065				Hale County	32.768094	-87.635687
050	00	01		067				Henry County	31.493511	-85.253760
050	00	01		069				Houston County	31.189731	-85.350387
050	00	01		071				Jackson County	34.755318	-85.948462
050	00	01		073				Jefferson County	33.527872	-86.828050
050	00	01		075				Lamar County	33.772995	-88.084702
050	00	01		077				Lauderdale County	34.876890	-87.605700
050	00	01		079				Lawrence County	34.554375	-87.302184
050	00	01		081				Lee County	32.607485	-85.328947
050	00	01		083				Limestone County	34.807445	-86.974946
050	00	01		085				Lowndes County	32.171280	-86.659917
050	00	01		087				Macon County	32.421555	-85.721158
050	00	01		089				Madison County	34.730790	-86.588226
050	00	01		091				Marengo County	32.331745	-87.788789
050	00	01		093				Marion County	34.116331	-87.878737
050	00	01		095				Marshall County	34.329598	-86.288884
050	00	01		097				Mobile County	30.722256	-88.139667
050	00	01		099				Monroe County	31.555656	-87.359637
050	00	01		101				Montgomery County	32.331872	-86.260844
050	00	01		103				Morgan County	34.507018	-86.918920
050	00	01		105				Perry County	32.613284	-87.334017
050	00	01		107				Pickens County	33.274090	-88.088963
050	00	01		109				Pike County	31.792165	-85.937370
050	00	01		111				Randolph County	33.262424	-85.445563
050	00	01		113				Russell County	32.376002	-85.101100
050	00	01		115				St. Clair County	33.667273	-86.329327
050	00	01		117				Shelby County	33.269120	-86.698665
050	00	01		119				Sumter County	32.558734	-88.215706
050	00	01		121				Talladega County	33.368498	-86.178278
050	00	01		123				Tallapoosa County	32.850131	-85.835005
050	00	01		125				Tuscaloosa County	33.235600	-87.511691
050	00	01		127				Walker County	33.819888	-87.285406
050	00	01		129				Washington County	31.366088	-88.151002
050	00	01		131				Wilcox County	31.993335	-87.348302
050	00	01		133				Winston County	34.151249	-87.418848
050	00	02		013				Aleutians East Borough	55.125713	-162.030237
050	00	02		016				Aleutians West Census Area	52.319360	-172.454123
050	00	02		020				Anchorage Municipality	61.191900	-149.762097
050	00	02		050				Bethel Census Area	60.888556	-161.191411
050	00	02		060				Bristol Bay Borough	58.690594	-156.786726
050	00	02		068				Denali Borough	63.893564	-149.104615
050	00	02		070				Dillingham Census Area	59.190911	-158.614040
050	00	02		090				Fairbanks North Star Borough	64.818590	-147.568384
050	00	02		100				Haines Borough	59.245450	-135.529519
050	00	02		110				Juneau City and Borough	58.351422	-134.511579
050	00	02		122				Kenai Peninsula Borough	60.349178	-150.987663
050	00	02		130				Ketchikan Gateway Borough	55.354938	-131.620295
050	00	02		150				Kodiak Island Borough	57.694078	-152.682317
050	00	02		164				Lake and Peninsula Borough	58.605648	-156.409989
050	00	02		170				Matanuska-Susitna Borough	61.762742	-149.481089
050	00	02		180				Nome Census Area	64.809165	-164.346772
050	00	02		185				North Slope Borough	70.599509	-153.940111
050	00	02		188				Northwest Arctic Borough	66.822031	-160.646404
050	00	02		201				Prince of Wales-Outer Ketchikan Census Area	55.552229	-132.584730
050	00	02		220				Sitka City and Borough	57.079871	-135.331757
050	00	02		232				Skagway-Hoonah-Angoon Census Area	58.321676	-135.458953
050	00	02		240				Southeast Fairbanks Census Area	63.607284	-143.910084
050	00	02		261				Valdez-Cordova Census Area	61.458662	-145.325925
050	00	02		270				Wade Hampton Census Area	62.084927	-163.736818
050	00	02		280				Wrangell-Petersburg Census Area	56.714340	-133.073562
050	00	02		282				Yakutat City and Borough	59.793489	-140.271248
050	00	02		290				Yukon-Koyukuk Census Area	65.129566	-151.854704
050	00	04		001				Apache County	35.645278	-109.449620
050	00	04		003				Cochise County	31.750272	-109.904319
050	00	04		005				Coconino County	35.771440	-111.511062
