Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude
040	00	01						Alabama	33.041578	-86.717606
040	00	02						Alaska	61.593773	-149.689776
040	00	04						Arizona	33.979048	-111.654430
040	00	05						Arkansas	34.984084	-92.487179
040	00	06						California	36.148666	-119.601508
040	00	08						Colorado	39.279984	-105.358979
040	00	09						Connecticut	41.518148	-72.818249
040	00	10						Delaware	39.185514	-75.504198
040	00	11						District of Columbia	38.913611	-77.013222
040	00	12						Florida	28.140923	-82.012976
040	00	13						Georgia	32.958120	-83.603378
040	00	15						Hawaii	20.807317	-156.991487
040	00	16						Idaho	44.390597	-114.909437
040	00	17						Illinois	40.567457	-88.847580
040	00	18						Indiana	40.070025	-86.272347
040	00	19						Iowa	42.038326	-93.368434
040	00	20						Kansas	38.442264	-97.399596
040	00	21						Kentucky	37.637259	-85.323884
040	00	22						Louisiana	30.883133	-91.731841
040	00	23						Maine	44.665264	-69.457397
040	00	24						Maryland	39.114408	-76.782835
040	00	25						Massachusetts	42.235405	-71.402300
040	00	26						Michigan	43.403838	-84.679044
040	00	27						Minnesota	45.639952	-94.083065
040	00	28						Mississippi	32.700249	-89.609622
040	00	29						Missouri	38.353271	-92.439467
040	00	30						Montana	46.939672	-110.568466
040	00	31						Nebraska	41.242052	-98.411541
040	00	32						Nevada	38.640903	-116.886031
040	00	33						New Hampshire	43.309253	-71.540147
040	00	34						New Jersey	40.291026	-74.500310
040	00	35						New Mexico	34.715946	-106.338771
040	00	36						New York	42.155127	-75.164667
040	00	37						North Carolina	35.526729	-79.746124
040	00	38						North Dakota	47.534051	-99.937310
040	00	39						Ohio	40.406215	-82.720939
040	00	40						Oklahoma	35.572285	-97.043688
040	00	41						Oregon	44.380111	-121.878222
040	00	42						Pennsylvania	40.616374	-77.405999
040	00	44						Rhode Island	41.730800	-71.455484
040	00	45						South Carolina	33.993155	-80.963451
040	00	46						South Dakota	44.247204	-99.195494
040	00	47						Tennessee	35.822799	-86.090713
040	00	48						Texas	31.308052	-98.241319
040	00	49						Utah	39.845409	-111.785442
040	00	50						Vermont	44.023032	-72.674848
040	00	51						Virginia	37.554963	-78.376114
040	00	53						Washington	47.315690	-121.102030
040	00	54						West Virginia	38.752463	-80.740921
040	00	55						Wisconsin	44.190581	-89.568976
040	00	56						Wyoming	42.868330	-107.166807
040	00	72						Puerto Rico	18.246715	-66.381305
